folder #,filename,mean_SCL,AUC_Phasic,min_peak_amplitude,max_peak_amplitude,mean_phasic_peak,sum_phasic_peak_amplitude,mean_BVPpeaks_ampl,min_BVPpeaks_ampl,max_BVPpeaks_ampl,sum_peak_ampl,HR_mean_difference,HR_variance_difference,chroma_stft,mel,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,Label
3.19,4-19.wav,-1.44451,2.423172,0.016717,0.029722,0.022987,0.13792,1.02188,0.687444,1.424408,23.50323,12.13084,21.35301,0.482177615,0.049602661,-365.283,98.3017,16.2316,40.80747,19.89772,7.909694,2.213407,8.886473,3.543362,10.10009,-5.56061,7.689008,1.876787,3.938692,1.145255,5.129659,-5.17107,5.652326,-5.35827,3.151056,1
3.2,4-20.wav,-1.6107,12.09514,0.007004,0.015634,0.011744,0.082209,1.040854,0.587477,3.349543,46.83842,11.75116,20.88144,0.405171454,0.074659668,-368.599,122.7518,6.271462,36.04481,20.09381,7.176701,8.731625,11.42999,-0.01199,14.39461,-1.81963,3.58111,-1.89315,4.885038,-2.97675,0.971555,-5.26511,3.999784,-5.68005,2.585724,1
3.21,4-21.wav,-1.68588,13.85835,0.005379,0.016103,0.011752,0.082264,1.000726,0.587477,3.349543,42.03049,11.26256,19.71006,0.452513844,0.067258902,-373.055,105.2491,18.96335,37.00695,15.31988,8.605304,3.023001,11.66572,0.085446,11.71655,-2.20362,7.813857,-0.64694,3.582336,0.513644,5.274063,-4.33319,5.29208,-5.83653,3.96068,1
3.22,4-22.wav,-1.58668,5.0597,0.005405,0.016124,0.010428,0.072999,0.948791,0.398974,3.349543,21.8222,9.32873,20.53794,0.458724171,0.116770543,-342.735,108.3038,10.68411,34.33169,17.46813,-1.55911,-4.40473,2.941584,-1.3215,11.9486,-3.49046,6.324999,2.035078,7.193068,-1.27144,0.321707,-3.53788,6.176157,-5.98671,4.337492,1
3.23,4-23.wav,-1.64621,11.58975,0.013736,0.097408,0.038297,0.421263,0.934372,0.647341,1.838224,32.70302,3.639841,19.85977,0.426929832,0.14466098,-356.203,99.4293,9.880836,32.98871,19.36494,-1.00533,-0.06805,7.389778,1.16428,10.15922,-2.65496,4.970513,1.012205,5.10662,3.301072,-0.64048,-2.01377,5.24172,-6.18394,3.197999,1
3.26,4-26.wav,-1.53081,14.10953,0.015023,0.065893,0.029772,0.476346,0.973232,0.575272,1.353696,50.60805,5.616701,19.59189,0.502522469,0.051349692,-423.492,81.03996,7.713575,25.80412,14.67089,3.769958,3.325057,8.823578,0.583341,7.394119,-1.29325,5.071827,0.359963,3.695957,1.228197,2.503343,-3.00187,5.126754,-4.17714,3.636601,1
3.27,4-27.wav,-1.4404,9.977811,0.011664,0.014247,0.013151,0.039452,0.935953,0.263942,1.633447,38.37407,5.831204,20.55608,0.486224681,0.026741926,-510.75,65.34467,4.846432,21.74661,11.11202,5.22471,2.321085,8.632587,2.743415,7.415937,-1.67861,4.335466,-0.70899,2.527272,0.866388,2.323439,-3.53031,3.947748,-3.68749,1.967564,1
3.28,4-28.wav,-0.92281,20.63971,0.008655,0.039179,0.016232,0.22725,1.039462,0.665552,1.910293,57.17043,5.386507,20.85454,0.50118041,0.064027503,-452.04,79.08197,7.711501,25.58554,14.55079,2.283209,0.0847,6.183331,-0.05422,7.640738,-1.27188,5.13871,1.055484,3.600522,1.579289,2.129428,-2.46545,3.764032,-4.12416,2.167494,1
3.3,4-30.wav,-1.13621,16.5639,0.008453,0.071489,0.029689,0.534394,0.998516,0.592515,2.108483,44.93324,2.669841,21.49848,0.519099414,0.04291945,-375.801,93.49394,8.35771,32.39662,16.52923,5.870608,3.364254,9.637161,-0.50414,10.04961,-1.75539,5.620232,1.179232,6.316864,-0.65899,3.654185,-4.4353,4.812223,-5.79086,3.833123,1
3.31,4-31.wav,-1.04375,11.10442,0.010096,0.061182,0.029546,0.413641,0.969756,0.187804,3.591905,40.72976,3.122555,21.43458,0.422795296,0.092429802,-370.236,106.8324,7.414873,35.27242,18.22581,2.947521,-1.16237,4.672853,2.081084,9.749285,-3.8988,5.509392,0.575294,5.139208,-0.17231,2.521313,-4.49948,5.200841,-3.95647,3.108203,0
3.32,4-32.wav,-0.79474,7.335477,0.016847,0.030512,0.02368,0.047359,1.07422,0.394131,2.150136,22.55863,2.854841,21.50069,0.44888258,0.171809435,-353.489,101.8561,8.084716,32.27361,17.43686,-0.37921,0.534969,3.806442,-1.37893,10.43538,-1.74767,5.517089,0.704681,4.050051,0.450539,0.730273,-2.83501,6.021504,-4.42106,3.142631,1
3.33,4-33.wav,-0.18683,20.35389,0.017026,0.084875,0.039288,0.667898,1.057984,0.587671,1.610199,47.60929,6.126379,21.24618,0.440444261,0.226368725,-382.375,84.35497,0.671721,22.5357,12.60954,-1.82838,1.298544,-0.4799,-0.75826,9.800834,-2.34723,3.206479,-1.02479,3.235303,2.257575,0.37927,-2.46509,3.920732,-4.84396,1.89291,1
3.34,4-34.wav,-0.35924,14.91084,0.024126,0.081051,0.050141,0.50141,1.117612,0.275953,3.053905,35.7636,6.712989,21.80938,0.440654725,0.082336329,-435.91,82.97534,9.496549,24.50956,13.55154,1.380251,-0.4247,3.946003,-1.71002,7.205756,-3.15954,4.770466,1.615234,4.308616,0.780585,2.320223,-2.27628,3.595317,-4.73596,2.569046,1
3.35,4-35.wav,-0.29687,16.46586,0.007983,0.074852,0.028033,0.504588,0.980841,0.382313,2.092791,48.06119,6.649492,21.6044,0.511869371,0.03077271,-525.193,44.73019,1.23548,19.88182,11.31498,5.356925,2.30558,5.138192,0.833256,3.938945,-1.18642,3.162033,-0.3656,3.128601,1.309844,1.343881,-2.8115,2.658291,-3.33053,1.760767,1
3.36,4-36.wav,-0.09945,8.5335,0.013781,0.091468,0.029793,0.387308,0.857092,0.334655,2.092791,34.28369,5.905447,21.27495,0.489569247,0.096397378,-431.336,84.1097,-0.20171,26.10243,15.1312,4.322593,4.938342,9.573779,1.369936,9.17603,-1.05991,6.416317,-0.14271,4.760176,1.65292,1.697919,-3.3439,3.639571,-5.11216,3.034387,1
3.37,4-37.wav,-0.23569,4.090413,0.011276,0.074911,0.045576,0.227881,1.377564,0.438109,3.791257,20.66345,3.404841,21.39087,0.48212266,0.069943652,-377.253,100.7431,4.167532,32.08007,17.70506,4.491466,2.395063,8.955845,-0.47917,8.62114,-1.26947,6.051013,0.058244,4.449201,0.767706,2.831065,-4.04574,5.047746,-5.14489,3.88616,1
4.1,6-01.wav,-0.83781,0.041851,0.000724,0.00337,0.00195,0.005851,0.315332,-0.00649,0.706982,7.567961,0.573562,99.33987,0.544687808,0.026372267,-418.682,96.40046,21.4204,43.19011,16.46247,15.87198,8.848556,7.776941,1.834938,9.098737,-1.93092,5.991715,-1.06984,1.975665,-1.27004,2.645076,-9.32107,4.835886,-6.24087,3.377307,1
4.2,6-02.wav,-1.02697,2.708865,0.013858,0.067276,0.040567,0.081134,0.856638,0.078643,2.687577,14.56284,-3.38444,98.52474,0.38647902,0.453712195,-278.035,132.261,4.682686,25.69174,16.10864,11.50762,-0.23245,2.124098,1.047254,14.03666,3.247244,5.42552,-6.48415,1.948681,-0.76963,3.410828,-8.02843,4.129878,-4.96961,0.225833,1
